fixture,runs,files,total_s_median,check_s_median,parse_bind_s_median,io_read_s_median,real_s_median,max_rss_bytes_median,peak_footprint_bytes_median,check_pct_median,diagnostics,request_cache_misses_median,contextual_cache_bypasses_median
monorepo-001,1,183,0.11,0.05,0.03,0.02,0.11,134184960,118703400,45.5,199,500,1000
monorepo-002,1,1092,4.88,4.47,0.21,0.15,4.94,694829056,658310680,91.6,1990,5000,10000
monorepo-003,2,5181,82.31,79.6,1.87,0.6,82.53,3401105408,3243585292,96.7,9999,25000,50000
monorepo-004,2,5233,76.16,74.09,1.43,0.47,76.28,3426263040,3317034776,97.3,10050,25000,50000
monorepo-005,2,5283,79.59,77.91,1.16,0.34,79.69,3444703232,3333525272,97.9,10100,25000,50000
monorepo-006,2,5332,80.97,79.35,1.1,0.35,81.09,3475800064,3355741964,98.0,10198,25000,50000
